YEAR,EVENT_TYPE,TOR_F_SCALE
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F5
1974,Tornado,F4
1974,Tornado,F3
1974,Tornado,F4
1974,Tornado,F3
1974,Tornado,F3
1974,Tornado,F4
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F4
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F0
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F4
1974,Hail,
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F0
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F3
1974,Tornado,F2
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F5
1974,Tornado,F3
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F4
1974,Thunderstorm Wind,
1974,Tornado,F4
1974,Hail,
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F1
1974,Tornado,F4
1974,Hail,
1974,Tornado,F2
1974,Tornado,F4
1974,Hail,
1974,Tornado,F2
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F1
1974,Tornado,F1
1974,Tornado,F2
1974,Tornado,F0
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Tornado,F3
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Hail,
1974,Tornado,F1
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F0
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F4
1974,Tornado,F2
1974,Tornado,F4
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F1
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F4
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F5
1974,Hail,
1974,Tornado,F4
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F3
1974,Tornado,F4
1974,Tornado,F0
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Hail,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F2
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F4
1974,Tornado,F3
1974,Tornado,F1
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Hail,
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Hail,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F1
1974,Tornado,F0
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F4
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F4
1974,Tornado,F1
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F5
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F2
1974,Tornado,F3
1974,Tornado,F1
1974,Tornado,F1
1974,Tornado,F3
1974,Tornado,F4
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Tornado,F3
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Hail,
1974,Tornado,F3
1974,Tornado,F3
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Hail,
1974,Tornado,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F3
1974,Tornado,F3
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,
1974,Tornado,F2
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F0
1974,Hail,
1974,Hail,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Tornado,F2
1974,Tornado,F2
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F3
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F3
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F0
1974,Tornado,F2
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F0
1974,Tornado,F0
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F3
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F2
1974,Tornado,F4
1974,Thunderstorm Wind,
1974,Tornado,F1
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Hail,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F4
1974,Tornado,F4
1974,Tornado,F2
1974,Tornado,F4
1974,Tornado,F1
1974,Thunderstorm Wind,
1974,Tornado,F2
1974,Tornado,F2
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F0
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Tornado,F2
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Hail,
1974,Thunderstorm Wind,
1974,Thunderstorm Wind,
