YEAR,EVENT_TYPE,TOR_F_SCALE
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F2
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Tornado,F2
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F3
1985,Tornado,F3
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F1
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Tornado,F1
1985,Tornado,F0
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Tornado,F1
1985,Tornado,F1
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F2
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F3
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Tornado,F1
1985,Tornado,F1
1985,Tornado,F0
1985,Tornado,F0
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F2
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F2
1985,Tornado,F0
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Tornado,F0
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Tornado,F1
1985,Tornado,F1
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F1
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F0
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F2
1985,Tornado,F1
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Tornado,F0
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Tornado,F1
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Tornado,F2
1985,Thunderstorm Wind,
1985,Tornado,F3
1985,Tornado,F3
1985,Thunderstorm Wind,
1985,Tornado,F0
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Tornado,F1
1985,Tornado,F0
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Hail,
1985,Thunderstorm Wind,
1985,Thunderstorm Wind,
